Area,Career,Faculty,Scores,Accepted
15,ACTUARIA,FACULTAD DE CIENCIAS,57,False
15,ACTUARIA,FACULTAD DE CIENCIAS,44,False
15,ACTUARIA,FACULTAD DE CIENCIAS,56,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,105,False
15,ACTUARIA,FACULTAD DE CIENCIAS,91,False
15,ACTUARIA,FACULTAD DE CIENCIAS,85,False
15,ACTUARIA,FACULTAD DE CIENCIAS,71,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,46,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,58,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,42,False
15,ACTUARIA,FACULTAD DE CIENCIAS,53,False
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,36,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,46,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,108,False
15,ACTUARIA,FACULTAD DE CIENCIAS,50,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,89,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,50,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,57,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,61,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,58,False
15,ACTUARIA,FACULTAD DE CIENCIAS,77,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,103,False
15,ACTUARIA,FACULTAD DE CIENCIAS,57,False
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,42,False
15,ACTUARIA,FACULTAD DE CIENCIAS,53,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,38,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,92,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,83,False
15,ACTUARIA,FACULTAD DE CIENCIAS,25,False
15,ACTUARIA,FACULTAD DE CIENCIAS,91,False
15,ACTUARIA,FACULTAD DE CIENCIAS,59,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,116,True
15,ACTUARIA,FACULTAD DE CIENCIAS,92,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,50,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,73,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,115,True
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,91,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,49,False
15,ACTUARIA,FACULTAD DE CIENCIAS,100,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,76,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,79,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,40,False
15,ACTUARIA,FACULTAD DE CIENCIAS,108,False
15,ACTUARIA,FACULTAD DE CIENCIAS,97,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,83,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,53,False
15,ACTUARIA,FACULTAD DE CIENCIAS,66,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,89,False
15,ACTUARIA,FACULTAD DE CIENCIAS,95,False
15,ACTUARIA,FACULTAD DE CIENCIAS,103,False
15,ACTUARIA,FACULTAD DE CIENCIAS,95,False
15,ACTUARIA,FACULTAD DE CIENCIAS,98,False
15,ACTUARIA,FACULTAD DE CIENCIAS,71,False
15,ACTUARIA,FACULTAD DE CIENCIAS,113,True
15,ACTUARIA,FACULTAD DE CIENCIAS,76,False
15,ACTUARIA,FACULTAD DE CIENCIAS,98,False
15,ACTUARIA,FACULTAD DE CIENCIAS,61,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,52,False
15,ACTUARIA,FACULTAD DE CIENCIAS,73,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,105,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,32,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,81,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,77,False
15,ACTUARIA,FACULTAD DE CIENCIAS,85,False
15,ACTUARIA,FACULTAD DE CIENCIAS,68,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,80,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,51,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,100,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,115,True
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,108,False
15,ACTUARIA,FACULTAD DE CIENCIAS,84,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,102,False
15,ACTUARIA,FACULTAD DE CIENCIAS,70,False
15,ACTUARIA,FACULTAD DE CIENCIAS,58,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,73,False
15,ACTUARIA,FACULTAD DE CIENCIAS,111,True
15,ACTUARIA,FACULTAD DE CIENCIAS,103,False
15,ACTUARIA,FACULTAD DE CIENCIAS,84,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,98,False
15,ACTUARIA,FACULTAD DE CIENCIAS,63,False
15,ACTUARIA,FACULTAD DE CIENCIAS,40,False
15,ACTUARIA,FACULTAD DE CIENCIAS,105,False
15,ACTUARIA,FACULTAD DE CIENCIAS,105,False
15,ACTUARIA,FACULTAD DE CIENCIAS,94,False
15,ACTUARIA,FACULTAD DE CIENCIAS,92,False
15,ACTUARIA,FACULTAD DE CIENCIAS,47,False
15,ACTUARIA,FACULTAD DE CIENCIAS,104,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,71,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,70,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,80,False
15,ACTUARIA,FACULTAD DE CIENCIAS,62,False
15,ACTUARIA,FACULTAD DE CIENCIAS,107,False
15,ACTUARIA,FACULTAD DE CIENCIAS,46,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,63,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,69,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,69,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,98,False
15,ACTUARIA,FACULTAD DE CIENCIAS,101,False
15,ACTUARIA,FACULTAD DE CIENCIAS,38,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,76,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,78,False
15,ACTUARIA,FACULTAD DE CIENCIAS,100,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,57,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,97,False
15,ACTUARIA,FACULTAD DE CIENCIAS,63,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,98,False
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,119,True
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,94,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,89,False
15,ACTUARIA,FACULTAD DE CIENCIAS,115,True
15,ACTUARIA,FACULTAD DE CIENCIAS,53,False
15,ACTUARIA,FACULTAD DE CIENCIAS,58,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,102,False
15,ACTUARIA,FACULTAD DE CIENCIAS,59,False
15,ACTUARIA,FACULTAD DE CIENCIAS,66,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,71,False
15,ACTUARIA,FACULTAD DE CIENCIAS,89,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,50,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,91,False
15,ACTUARIA,FACULTAD DE CIENCIAS,69,False
15,ACTUARIA,FACULTAD DE CIENCIAS,90,False
15,ACTUARIA,FACULTAD DE CIENCIAS,97,False
15,ACTUARIA,FACULTAD DE CIENCIAS,72,False
15,ACTUARIA,FACULTAD DE CIENCIAS,71,False
15,ACTUARIA,FACULTAD DE CIENCIAS,102,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,64,False
15,ACTUARIA,FACULTAD DE CIENCIAS,54,False
15,ACTUARIA,FACULTAD DE CIENCIAS,84,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,68,False
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,52,False
15,ACTUARIA,FACULTAD DE CIENCIAS,76,False
15,ACTUARIA,FACULTAD DE CIENCIAS,60,False
15,ACTUARIA,FACULTAD DE CIENCIAS,82,False
15,ACTUARIA,FACULTAD DE CIENCIAS,98,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,112,True
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,99,False
15,ACTUARIA,FACULTAD DE CIENCIAS,60,False
15,ACTUARIA,FACULTAD DE CIENCIAS,118,True
15,ACTUARIA,FACULTAD DE CIENCIAS,60,False
15,ACTUARIA,FACULTAD DE CIENCIAS,39,False
15,ACTUARIA,FACULTAD DE CIENCIAS,106,False
15,ACTUARIA,FACULTAD DE CIENCIAS,113,True
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,93,False
15,ACTUARIA,FACULTAD DE CIENCIAS,53,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,103,False
15,ACTUARIA,FACULTAD DE CIENCIAS,69,False
15,ACTUARIA,FACULTAD DE CIENCIAS,93,False
15,ACTUARIA,FACULTAD DE CIENCIAS,53,False
15,ACTUARIA,FACULTAD DE CIENCIAS,64,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,49,False
15,ACTUARIA,FACULTAD DE CIENCIAS,80,False
15,ACTUARIA,FACULTAD DE CIENCIAS,91,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,62,False
15,ACTUARIA,FACULTAD DE CIENCIAS,31,False
15,ACTUARIA,FACULTAD DE CIENCIAS,117,True
15,ACTUARIA,FACULTAD DE CIENCIAS,85,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,77,False
15,ACTUARIA,FACULTAD DE CIENCIAS,34,False
15,ACTUARIA,FACULTAD DE CIENCIAS,61,False
15,ACTUARIA,FACULTAD DE CIENCIAS,93,False
15,ACTUARIA,FACULTAD DE CIENCIAS,64,False
15,ACTUARIA,FACULTAD DE CIENCIAS,95,False
15,ACTUARIA,FACULTAD DE CIENCIAS,57,False
15,ACTUARIA,FACULTAD DE CIENCIAS,66,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,90,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,80,False
15,ACTUARIA,FACULTAD DE CIENCIAS,44,False
15,ACTUARIA,FACULTAD DE CIENCIAS,107,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,77,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,80,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,46,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,81,False
15,ACTUARIA,FACULTAD DE CIENCIAS,104,False
15,ACTUARIA,FACULTAD DE CIENCIAS,89,False
15,ACTUARIA,FACULTAD DE CIENCIAS,63,False
15,ACTUARIA,FACULTAD DE CIENCIAS,100,False
15,ACTUARIA,FACULTAD DE CIENCIAS,75,False
15,ACTUARIA,FACULTAD DE CIENCIAS,112,True
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,111,True
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,93,False
15,ACTUARIA,FACULTAD DE CIENCIAS,99,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,37,False
15,ACTUARIA,FACULTAD DE CIENCIAS,66,False
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,76,False
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,70,False
15,ACTUARIA,FACULTAD DE CIENCIAS,111,True
15,ACTUARIA,FACULTAD DE CIENCIAS,85,False
15,ACTUARIA,FACULTAD DE CIENCIAS,115,True
15,ACTUARIA,FACULTAD DE CIENCIAS,97,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,111,True
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,112,True
15,ACTUARIA,FACULTAD DE CIENCIAS,62,False
15,ACTUARIA,FACULTAD DE CIENCIAS,49,False
15,ACTUARIA,FACULTAD DE CIENCIAS,51,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,110,False
15,ACTUARIA,FACULTAD DE CIENCIAS,84,False
15,ACTUARIA,FACULTAD DE CIENCIAS,85,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,59,False
15,ACTUARIA,FACULTAD DE CIENCIAS,94,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,56,False
15,ACTUARIA,FACULTAD DE CIENCIAS,105,False
15,ACTUARIA,FACULTAD DE CIENCIAS,106,False
15,ACTUARIA,FACULTAD DE CIENCIAS,104,False
15,ACTUARIA,FACULTAD DE CIENCIAS,95,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,115,True
15,ACTUARIA,FACULTAD DE CIENCIAS,77,False
15,ACTUARIA,FACULTAD DE CIENCIAS,87,False
15,ACTUARIA,FACULTAD DE CIENCIAS,79,False
15,ACTUARIA,FACULTAD DE CIENCIAS,109,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,104,False
15,ACTUARIA,FACULTAD DE CIENCIAS,50,False
15,ACTUARIA,FACULTAD DE CIENCIAS,31,False
15,ACTUARIA,FACULTAD DE CIENCIAS,64,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,100,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,93,False
15,ACTUARIA,FACULTAD DE CIENCIAS,55,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,95,False
15,ACTUARIA,FACULTAD DE CIENCIAS,90,False
15,ACTUARIA,FACULTAD DE CIENCIAS,49,False
15,ACTUARIA,FACULTAD DE CIENCIAS,108,False
15,ACTUARIA,FACULTAD DE CIENCIAS,68,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,89,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,99,False
15,ACTUARIA,FACULTAD DE CIENCIAS,70,False
15,ACTUARIA,FACULTAD DE CIENCIAS,114,True
15,ACTUARIA,FACULTAD DE CIENCIAS,79,False
15,ACTUARIA,FACULTAD DE CIENCIAS,60,False
15,ACTUARIA,FACULTAD DE CIENCIAS,61,False
15,ACTUARIA,FACULTAD DE CIENCIAS,84,False
15,ACTUARIA,FACULTAD DE CIENCIAS,95,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,65,False
15,ACTUARIA,FACULTAD DE CIENCIAS,56,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,74,False
15,ACTUARIA,FACULTAD DE CIENCIAS,86,False
15,ACTUARIA,FACULTAD DE CIENCIAS,45,False
15,ACTUARIA,FACULTAD DE CIENCIAS,,False
15,ACTUARIA,FACULTAD DE CIENCIAS,94,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,70,False
15,ACTUARIA,FACULTAD DE CIENCIAS,96,False
15,ACTUARIA,FACULTAD DE CIENCIAS,51,False
15,ACTUARIA,FACULTAD DE CIENCIAS,80,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,102,False
15,ACTUARIA,FACULTAD DE CIENCIAS,72,False
15,ACTUARIA,FACULTAD DE CIENCIAS,76,False
15,ACTUARIA,FACULTAD DE CIENCIAS,48,False
15,ACTUARIA,FACULTAD DE CIENCIAS,54,False
15,ACTUARIA,FACULTAD DE CIENCIAS,77,False
15,ACTUARIA,FACULTAD DE CIENCIAS,90,False
15,ACTUARIA,FACULTAD DE CIENCIAS,67,False
15,ACTUARIA,FACULTAD DE CIENCIAS,73,False
15,ACTUARIA,FACULTAD DE CIENCIAS,88,False
15,ACTUARIA,FACULTAD DE CIENCIAS,61,False
