career_id,career,faculty,n_2026,distancia_wasserstein,media_distancia_nula,std_distancia_nula,z_score,probabilidad_empirica,empirica_saturada,log10_probabilidad,probabilidad_ajustada_fdr
93,MEDICO CIRUJANO,FACULTAD DE MEDICINA,13144,16.980157100542748,0.19737860468870805,0.07754610650317645,216.4232255189573,0.0001999600079984003,True,-10173.696745905716,0.00020780157693951406
2,ADMINISTRACION,FACULTAD DE CONTADURIA Y ADMINISTRACION,5958,17.211284033575247,0.25816483719702205,0.09830477523817541,172.45468651246858,0.0001999600079984003,True,-6460.729117890142,0.00020780157693951406
93,MEDICO CIRUJANO,FES IZTACALA,5521,19.998371135697834,0.29453163658547643,0.11617477386008518,169.60514614681009,0.0001999600079984003,True,-6249.065578458046,0.00020780157693951406
93,MEDICO CIRUJANO,FES ZARAGOZA,4268,20.128382868447403,0.3229433022732136,0.1252343436269495,158.14703053957004,0.0001999600079984003,True,-5433.555604956743,0.00020780157693951406
22,CIRUJANO DENTISTA,FES IZTACALA,2516,20.272472625413805,0.3778465619171501,0.14414606935158406,138.01712494131237,0.0001999600079984003,True,-4138.917508987825,0.00020780157693951406
27,DERECHO,FACULTAD DE DERECHO,4935,16.116104949087244,0.30067426266474034,0.11814185725444591,133.8681399968201,0.0001999600079984003,True,-3893.9517718573966,0.00020780157693951406
26,CONTADURIA,FACULTAD DE CONTADURIA Y ADMINISTRACION,4389,16.076921818212107,0.3119975303979439,0.12128603342159663,129.98136589243097,0.0001999600079984003,True,-3671.2493945025185,0.00020780157693951406
22,CIRUJANO DENTISTA,FES ZARAGOZA,2292,19.141767277386908,0.39880164857351574,0.1512971631986592,123.88180473815711,0.0001999600079984003,True,-3334.9860239966015,0.00020780157693951406
27,DERECHO,FES ARAGON,2477,17.22866617054582,0.3731934987448963,0.13841457505958096,121.77527304870486,0.0001999600079984003,True,-3222.6082627299947,0.00020780157693951406
22,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGIA,2497,19.50203987987287,0.41243146068022224,0.1601863963049711,119.17122089973778,0.0001999600079984003,True,-3086.3526117729557,0.00020780157693951406
38,ENFERMERIA,FES ZARAGOZA,2405,15.689887846083423,0.3597139548324812,0.13415592360878817,114.27131563683488,0.0001999600079984003,True,-2837.951309270598,0.00020780157693951406
6,ARQUITECTURA,FACULTAD DE ARQUITECTURA,3939,14.568635134918985,0.33018623200085634,0.12815261994254526,111.10540626716535,0.0001999600079984003,True,-2682.999715656443,0.00020780157693951406
92,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,3403,15.04773652783978,0.35815019617431043,0.13922510510273234,105.5096084921338,0.0001999600079984003,True,-2419.765762143118,0.00020780157693951406
6,ARQUITECTURA,FES ARAGON,1603,16.80838480672331,0.43722885631282205,0.16203953787654454,101.0318602789612,0.0001999600079984003,True,-2218.9203272668783,0.00020780157693951406
102,PSICOLOGIA,FES ZARAGOZA,2403,13.766319791087051,0.3704421859945315,0.13283374187932934,100.84694909266192,0.0001999600079984003,True,-2210.813501306105,0.00020780157693951406
27,DERECHO,FES ACATLAN,1623,17.302195575570977,0.4591390711659367,0.17165911589973842,98.11920803694822,0.0001999600079984003,True,-2092.949673428676,0.00020780157693951406
92,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLAN,2113,15.741493625300901,0.4121894067098886,0.15661776721519105,97.87717250194686,0.0001999600079984003,True,-2082.6475509289044,0.00020780157693951406
38,ENFERMERIA,FES IZTACALA,1588,16.656086715711595,0.44759316099953905,0.16583543240133022,97.73842248311973,0.0001999600079984003,True,-2076.7531967582886,0.00020780157693951406
102,PSICOLOGIA,FES IZTACALA,2126,14.683489007681917,0.3928296358557779,0.14632925437584027,97.66098674377994,0.0001999600079984003,True,-2073.467219920173,0.00020780157693951406
102,PSICOLOGIA,FACULTAD DE PSICOLOGIA,3526,12.957171883069057,0.34562776830538183,0.13296672833739762,94.84736725086894,0.0001999600079984003,True,-1955.8377536251298,0.00020780157693951406
95,NUTRIOLOGIA,FES ZARAGOZA,1373,17.02728983596692,0.517213933537678,0.19090145103367326,86.48481094843545,0.0001999600079984003,True,-1626.5154824359304,0.00020780157693951406
99,PEDAGOGIA,FES ARAGON,1352,13.699755469874106,0.44705185088271354,0.15998230567640218,82.83855869534578,0.0001999600079984003,True,-1492.4310035968667,0.00020780157693951406
107,RELACIONES INTERNACIONALES,FES ARAGON,1124,17.722600715768714,0.5782662735752546,0.2086852113454811,82.15404595110857,0.0001999600079984003,True,-1467.9028914452244,0.00020780157693951406
6,ARQUITECTURA,FES ACATLAN,1244,15.699343905763847,0.5063588403013315,0.1875733001488162,80.99758896073568,0.0001999600079984003,True,-1426.925862158782,0.00020780157693951406
105,QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUIMICA,2138,14.4140726170932,0.47029671677566803,0.18201530996150836,76.60770900682085,0.0001999600079984003,True,-1276.664369602477,0.00020780157693951406
64,INGENIERIA EN COMPUTACION,FACULTAD DE INGENIERIA,2473,12.839977064460431,0.427003928303679,0.16523123621415084,75.12485786929962,0.0001999600079984003,True,-1227.798447356488,0.00020780157693951406
64,INGENIERIA EN COMPUTACION,FES ARAGON,1442,14.132345044318022,0.49509123687879547,0.18411780962204863,74.06808627276938,0.0001999600079984003,True,-1193.5562407234547,0.00020780157693951406
96,ODONTOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEON,871,18.97422101715912,0.6523149753257346,0.24806125959853909,73.8604088017833,0.0001999600079984003,True,-1186.8839510852367,0.00020780157693951406
35,ECONOMIA,FACULTAD DE ECONOMIA,1635,14.479875407631134,0.5094493549131613,0.19194183228264444,72.7846863113497,0.0001999600079984003,True,-1152.6227289426893,0.00020780157693951406
19,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,1370,16.502733930219456,0.5655374202054343,0.2198549452811401,72.48959758278026,0.0001999600079984003,True,-1143.312122832599,0.00020780157693951406
99,PEDAGOGIA,FACULTAD DE FILOSOFIA Y LETRAS,1376,12.712294252513033,0.4881989906797509,0.17970284213206567,68.02393950369274,0.0001999600079984003,True,-1007.0277941424687,0.00020780157693951406
2,ADMINISTRACION,FES CUAUTITLAN,909,14.995155088580077,0.5914094468682776,0.21687702503369202,66.41434536218931,0.0001999600079984003,True,-960.0286738003706,0.00020780157693951406
99,PEDAGOGIA,FES ACATLAN,880,13.476524132538778,0.5507601502472423,0.19643098853182592,65.80307964085459,0.0001999600079984003,True,-942.4748243606871,0.00020780157693951406
71,INGENIERIA MECANICA,FES ARAGON,791,16.686405427295973,0.658131378401888,0.24388613643048515,65.72031638814626,0.0001999600079984003,True,-940.1105642951406,0.00020780157693951406
107,RELACIONES INTERNACIONALES,FES ACATLAN,804,17.525743996052164,0.6911797091954709,0.2585523254201226,65.11086009186786,0.0001999600079984003,True,-922.7920926999768,0.00020780157693951406
71,INGENIERIA MECANICA,FACULTAD DE INGENIERIA,1732,13.390171643120414,0.5232895804143831,0.20290800191011324,63.412393506323944,0.0001999600079984003,True,-875.379015360522,0.00020780157693951406
26,CONTADURIA,FES CUAUTITLAN,862,14.433135340020913,0.6053862927925726,0.22246712790156403,62.1563696967705,0.0001999600079984003,True,-841.1224424842297,0.00020780157693951406
60,INGENIERIA CIVIL,FES ARAGON,656,15.754912028127038,0.6887763435414905,0.2547129874391464,59.14946008862231,0.0001999600079984003,True,-761.8952330322973,0.00020780157693951406
105,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,1335,13.239447425792385,0.5698100718717808,0.21722711194555946,58.3243833628641,0.0001999600079984003,True,-740.8421539121916,0.00020780157693951406
70,INGENIERIA INDUSTRIAL,FACULTAD DE INGENIERIA,977,15.167547832548964,0.6738186898032759,0.2567131052305071,56.45885951062576,0.0001999600079984003,True,-694.3301151867583,0.00020780157693951406
107,RELACIONES INTERNACIONALES,FACULTAD DE CIENCIAS POLITICAS Y SOCIALES,974,15.331319639099355,0.6900341587018968,0.2631433327937256,55.63996368425781,0.0001999600079984003,True,-674.3902525567225,0.00020780157693951406
60,INGENIERIA CIVIL,FACULTAD DE INGENIERIA,1237,13.127005730857409,0.6000600700595955,0.23053178884892575,54.33934175996478,0.0001999600079984003,True,-643.3189207050069,0.00020780157693951406
25,COMUNICACION Y PERIODISMO,FES ARAGON,1016,12.730465420858755,0.5918416001038403,0.2234077109753754,54.33395189341905,0.0001999600079984003,True,-643.1916870133191,0.00020780157693951406
1,ACTUARIA,FACULTAD DE CIENCIAS,1354,13.564794038604237,0.6128993746179351,0.24691268421833273,52.45536374524032,0.0001999600079984003,True,-599.6138258908626,0.00020780157693951406
60,INGENIERIA CIVIL,FES ACATLAN,548,14.751226570810255,0.745724561126802,0.2736812461741143,51.17450393650005,0.0001999600079984003,True,-570.7799863855685,0.00020780157693951406
35,ECONOMIA,FES ARAGON,602,15.226552342312896,0.7631297870778221,0.28440441055250243,50.85512748250807,0.0001999600079984003,True,-563.7013395745796,0.00020780157693951406
32,DISEÑO INDUSTRIAL,FES ARAGON,642,14.11192381144522,0.7154166539951418,0.26684769089150956,50.202822114344634,0.0001999600079984003,True,-549.3812515891915,0.00020780157693951406
31,DISEÑO GRAFICO,FES ACATLAN,1104,10.935452287900993,0.5629879657221951,0.20963825207695885,49.47791836372989,0.0001999600079984003,True,-533.6841099259201,0.00020780157693951406
70,INGENIERIA INDUSTRIAL,FES ARAGON,548,14.748036290195778,0.7750449960341447,0.28283394120051075,49.40351654703173,0.0001999600079984003,True,-532.0859136857371,0.00020780157693951406
62,INGENIERIA ELECTRICA ELECTRONICA,FACULTAD DE INGENIERIA,1249,12.634893600950237,0.624665284899001,0.2445245317172827,49.11666012282713,0.0001999600079984003,True,-525.9465569390763,0.00020780157693951406
